,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Ucluelet,CA,48.9329,-125.5528,64.71,84,73,3.0,broken clouds
349,Richards Bay,ZA,-28.783,32.0377,65.52,82,0,11.12,clear sky
350,Plastun,RU,44.7561,136.2939,71.2,70,68,3.31,broken clouds
351,Bilma,NE,18.6853,12.9164,92.84,14,63,8.99,broken clouds
352,Tezu,IN,27.9167,96.1667,75.6,99,100,0.92,overcast clouds
353,Vanimo,PG,-2.6741,141.3028,78.46,88,93,1.59,overcast clouds
354,Haines Junction,CA,60.7522,-137.5108,66.15,42,86,14.97,overcast clouds
355,Ketchikan,US,55.3422,-131.6461,59.47,82,100,9.22,light rain
356,Lanxi,CN,29.2195,119.477,79.77,92,100,0.54,overcast clouds
357,Bollnas,SE,61.3482,16.3946,51.44,97,99,3.42,overcast clouds
358,Flin Flon,CA,54.7682,-101.865,84.04,34,40,5.75,smoke
359,Qasigiannguit,GL,68.8193,-51.1922,41.31,82,78,1.52,broken clouds
360,Zyryanka,RU,65.75,150.85,58.69,76,100,6.82,light rain
361,Kununurra,AU,-15.7667,128.7333,69.78,60,20,4.61,few clouds
362,Nouadhibou,MR,20.931,-17.0347,71.58,83,42,8.05,scattered clouds
363,Santo Antonio Do Ica,BR,-3.1022,-67.9397,76.48,91,97,2.68,overcast clouds
364,Volnovakha,UA,47.601,37.4967,54.45,73,0,7.9,clear sky
365,Caravelas,BR,-17.7125,-39.2481,70.9,77,26,5.1,scattered clouds
366,Hobyo,SO,5.3505,48.5268,75.09,82,59,25.72,broken clouds
367,Goderich,CA,43.7501,-81.7165,74.91,60,1,4.61,clear sky
368,Homa Bay,KE,-0.5273,34.4571,67.59,72,100,2.28,overcast clouds
369,Kaitangata,NZ,-46.2817,169.8464,46.13,91,100,9.22,overcast clouds
370,Cayenne,GF,4.9333,-52.3333,79.09,1,0,0.0,clear sky
371,Sorong,ID,-0.8833,131.25,78.6,84,97,5.61,overcast clouds
372,Chokurdakh,RU,70.6333,147.9167,43.99,58,85,13.38,overcast clouds
373,Amboasary,MG,-25.0333,46.3833,62.13,86,10,7.38,clear sky
374,Mahon,ES,39.8885,4.2658,77.56,88,0,4.61,clear sky
375,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.54,97,73,0.69,broken clouds
376,Brae,GB,60.3964,-1.353,55.99,93,80,10.94,broken clouds
377,Muros,ES,42.7762,-9.0603,67.08,83,9,10.56,clear sky
378,Pierre,US,44.3683,-100.351,106.72,25,0,19.57,clear sky
379,Vao,NC,-22.6667,167.4833,74.39,81,99,11.21,overcast clouds
380,Jinchang,CN,38.4953,102.1739,65.46,55,100,7.38,overcast clouds
381,Likasi,CD,-10.9814,26.7333,54.59,62,4,3.94,clear sky
382,Mount Isa,AU,-20.7333,139.5,64.17,36,0,5.75,clear sky
383,Tuatapere,NZ,-46.1333,167.6833,44.94,90,100,5.82,overcast clouds
384,Helena,US,46.5927,-112.0361,75.81,27,3,20.0,clear sky
385,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,94,100,6.71,overcast clouds
386,Kysyl-Syr,RU,63.8986,122.7617,67.05,96,95,6.6,light rain
387,Shelburne,CA,44.0787,-80.2041,75.99,69,49,9.98,scattered clouds
388,Gondar,ET,12.6,37.4667,58.82,80,76,2.15,broken clouds
389,Ugoofaaru,MV,5.6667,73.0,81.95,76,100,16.82,overcast clouds
390,Falmouth,GB,50.1544,-5.0711,77.9,60,0,17.27,clear sky
391,Quatre Cocos,MU,-20.2078,57.7625,68.11,65,61,24.07,light rain
392,Kigonsera,TZ,-10.8,35.05,56.97,77,80,4.54,broken clouds
393,Lagos,NG,6.5833,3.75,74.12,84,77,3.65,broken clouds
394,Kemijarvi,FI,66.7131,27.4306,48.04,95,98,2.93,overcast clouds
395,Tabas,IR,33.5959,56.9244,87.4,12,0,5.68,clear sky
396,Belyy Yar,RU,53.6039,91.3903,58.89,67,0,8.95,light rain
397,Sengiley,RU,53.9622,48.7944,66.27,92,73,7.56,broken clouds
398,Locri,IT,38.2414,16.2623,80.31,59,0,5.17,clear sky
399,Mana,GF,5.6592,-53.7767,78.58,86,48,8.7,scattered clouds
400,Pisco,PE,-13.7,-76.2167,62.65,77,0,6.91,clear sky
401,Natal,BR,-5.795,-35.2094,77.22,94,75,13.8,light rain
402,Henties Bay,NA,-22.116,14.2845,57.65,85,1,3.4,clear sky
403,Manakara,MG,-22.1333,48.0167,67.55,83,93,11.74,light rain
404,Jawhar,SO,2.7809,45.5005,72.55,83,58,15.05,broken clouds
405,Urrao,CO,6.3152,-76.1342,60.82,92,68,2.17,broken clouds
406,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.67,93,92,3.09,overcast clouds
407,Boulder City,US,35.9786,-114.8325,104.77,17,31,17.78,scattered clouds
408,Basco,PH,20.4487,121.9702,85.12,79,85,15.68,overcast clouds
409,Mayo,US,38.8876,-76.5119,83.39,85,40,3.44,scattered clouds
410,Esperance,AU,-33.8667,121.9,49.84,87,38,7.2,scattered clouds
411,Birjand,IR,32.8663,59.2211,79.27,11,0,4.61,clear sky
412,Talcahuano,CL,-36.7167,-73.1167,46.08,76,0,4.61,clear sky
413,Sisimiut,GL,66.9395,-53.6735,44.87,90,100,1.45,overcast clouds
414,Lichinga,MZ,-13.3128,35.2406,57.02,82,85,8.16,overcast clouds
415,Jalingo,NG,8.8833,11.3667,72.7,91,78,2.91,broken clouds
416,Pangai,TO,-19.8,-174.35,78.91,83,75,21.85,broken clouds
417,Catamarca,AR,-28.4696,-65.7852,53.78,47,0,1.99,clear sky
418,Nanyamba,TZ,-10.6833,39.8333,62.8,99,48,4.14,scattered clouds
419,Price,US,39.5994,-110.8107,81.66,34,75,13.8,broken clouds
420,Lincoln,US,40.8,-96.667,91.13,55,0,13.8,clear sky
421,Shaunavon,CA,49.6501,-108.4181,65.98,80,50,15.59,scattered clouds
422,Ulaangom,MN,49.9811,92.0667,59.7,58,90,9.51,overcast clouds
423,Quesnel,CA,52.9999,-122.5029,72.1,53,100,3.44,overcast clouds
424,Sinazongwe,ZM,-17.2614,27.4618,61.74,58,54,4.59,broken clouds
425,Bucak,TR,37.4592,30.595,68.52,59,0,7.76,clear sky
426,Dabakala,CI,8.3667,-4.4333,70.27,95,56,5.14,broken clouds
427,Oranjemund,NA,-28.55,16.4333,54.7,94,13,6.06,few clouds
428,Zhanaozen,KZ,43.3,52.8,89.96,19,0,8.93,clear sky
429,Tilichiki,RU,60.4667,166.1,61.84,59,100,6.58,overcast clouds
430,Maniitsoq,GL,65.4167,-52.9,44.08,91,100,2.57,overcast clouds
431,La Asuncion,VE,11.0333,-63.8628,91.13,58,6,20.71,clear sky
432,Port Augusta,AU,-32.5,137.7667,50.65,50,5,7.99,clear sky
433,Hoorn,NL,52.6431,5.0578,71.96,77,22,6.17,few clouds
434,Corredor,CR,8.64,-82.946,77.45,96,100,0.65,overcast clouds
435,Port Blair,IN,11.6667,92.75,77.04,100,75,2.3,mist
436,Adolfo Ruiz Cortines,MX,25.75,-108.75,91.04,47,41,13.2,scattered clouds
437,Truckee,US,39.328,-120.1833,90.16,34,0,14.97,clear sky
438,Ygatimi,PY,-24.0833,-55.5,64.62,84,45,4.16,scattered clouds
439,Qinzhou,CN,21.95,108.6167,85.82,79,100,11.63,overcast clouds
440,Narsaq,GL,60.9167,-46.05,48.9,73,98,0.69,overcast clouds
441,Waipawa,NZ,-41.4122,175.5153,57.54,64,100,10.74,overcast clouds
442,Abeche,TD,13.8292,20.8324,77.27,74,80,5.66,broken clouds
443,Boyolangu,ID,-8.1181,111.8935,75.61,86,87,2.71,overcast clouds
444,San Carlos De Bariloche,AR,-41.1456,-71.3082,29.95,74,0,3.44,clear sky
445,Ostrovskoye,RU,57.8057,42.2433,55.98,99,100,6.98,moderate rain
446,Shimoda,JP,34.6667,138.95,80.96,91,100,13.11,light rain
447,Soe,ID,-9.8607,124.284,64.96,69,98,4.59,overcast clouds
448,Sergeyevka,KZ,53.88,67.4158,58.44,75,0,2.08,clear sky
449,Pontianak,ID,-0.0333,109.3333,73.38,100,20,0.0,few clouds
450,Shancheng,CN,34.7953,116.0817,81.3,73,87,3.8,overcast clouds
451,Naze,JP,28.3667,129.4833,83.32,82,100,16.75,overcast clouds
452,Katangli,RU,51.7102,143.2326,51.62,97,100,11.14,overcast clouds
453,Prachuap Khiri Khan,TH,12.2167,99.75,81.57,79,70,6.89,broken clouds
454,Krasnoselkup,RU,65.7,82.4667,58.84,65,51,16.24,broken clouds
455,Limbang,MY,4.75,115.0,80.71,76,100,1.36,overcast clouds
456,Saint-Augustin,CA,51.226,-58.6502,62.92,81,75,7.18,broken clouds
457,Bac Lieu,VN,9.285,105.7244,80.11,86,100,7.81,overcast clouds
458,Platanos,GR,37.6667,21.6167,71.56,49,0,6.69,clear sky
459,Xining,CN,36.6167,101.7667,52.39,83,41,3.62,scattered clouds
460,Navahrudak,BY,53.6,25.8333,54.23,99,100,7.34,overcast clouds
461,Ampanihy,MG,-24.7,44.75,63.0,80,0,9.01,clear sky
462,Mahibadhoo,MV,3.7833,72.9667,82.11,76,99,16.24,overcast clouds
463,Neuquen,AR,-38.9516,-68.0591,39.09,70,0,0.0,clear sky
464,Shakhtinsk,KZ,49.71,72.5872,59.32,75,31,7.52,scattered clouds
465,Portree,GB,57.4129,-6.1942,57.52,93,99,1.95,overcast clouds
466,Karad,IN,17.2833,74.2,70.95,96,99,5.17,overcast clouds
467,Barra Patuca,HN,15.8,-84.2833,80.28,87,100,13.51,overcast clouds
468,Les Cayes,HT,18.2,-73.75,80.22,77,19,3.09,few clouds
469,Smirnykh,RU,49.75,142.8333,56.3,95,100,1.92,overcast clouds
470,Stornoway,GB,58.2093,-6.3865,58.03,92,75,1.14,broken clouds
471,Tabou,CI,4.423,-7.3528,74.66,77,97,10.45,overcast clouds
472,Copiapo,CL,-27.3667,-70.3333,49.69,43,0,1.5,clear sky
473,Milkovo,RU,54.7167,158.6167,78.89,53,8,2.21,clear sky
474,Seoul,KR,37.5683,126.9778,80.17,80,40,2.3,mist
475,Kodinsk,RU,58.6881,99.1844,56.05,89,37,5.48,scattered clouds
476,Sussex,US,41.1834,-74.6663,77.7,76,91,1.01,overcast clouds
477,Pandan,PH,14.0453,124.1694,82.54,82,23,6.24,few clouds
478,Hamilton,US,39.1834,-84.5333,82.92,73,56,1.23,broken clouds
479,Mehamn,NO,71.0357,27.8492,57.15,82,100,4.61,overcast clouds
480,Necochea,AR,-38.5473,-58.7368,41.79,79,26,7.23,scattered clouds
481,Alugan,PH,12.2188,125.4808,80.73,83,95,6.73,overcast clouds
482,Kawalu,ID,-7.3817,108.2082,72.88,96,99,1.07,overcast clouds
483,Palamos,ES,41.8484,3.1291,78.39,68,0,1.99,clear sky
484,Hami,CN,42.8,93.45,80.35,29,96,3.13,overcast clouds
485,Barbosa,CO,5.9317,-73.6151,62.15,94,94,4.27,overcast clouds
486,Celestun,MX,20.8667,-90.4,87.08,68,56,14.99,broken clouds
487,Shima,CN,24.4478,117.8111,84.22,85,100,2.51,overcast clouds
488,Moose Factory,CA,51.2585,-80.6094,69.8,94,100,4.61,light rain
489,Barcelona,ES,41.3888,2.159,79.77,87,20,1.14,few clouds
490,Ust-Maya,RU,60.4167,134.5333,75.06,45,100,11.81,overcast clouds
491,Tessalit,ML,20.1986,1.0114,86.63,44,49,13.85,scattered clouds
492,Methoni,GR,36.8197,21.7049,76.86,54,0,8.72,clear sky
493,Kazerun,IR,29.6195,51.6541,86.99,14,2,5.57,clear sky
494,Nara,JP,34.6851,135.8049,80.49,89,100,1.48,moderate rain
495,Burlington,US,39.8835,-74.6413,84.27,79,100,5.01,overcast clouds
496,Kosonsoy,UZ,41.2561,71.5508,72.16,23,0,7.76,clear sky
497,Ostrovnoy,RU,68.0531,39.5131,53.53,84,13,6.44,few clouds
498,Kalianget,ID,-7.05,113.9333,80.15,75,89,11.45,overcast clouds
499,Wilmington,US,34.2257,-77.9447,82.99,76,23,5.99,few clouds
500,Olenino,RU,56.2092,33.4889,52.56,80,68,4.65,broken clouds
501,Marrakesh,MA,31.6315,-8.0083,86.07,45,40,2.3,scattered clouds
502,Woodstock,CA,43.1334,-80.7497,80.82,99,25,5.01,scattered clouds
503,Kon Tum,VN,14.35,108.0,72.97,95,93,1.21,overcast clouds
504,Tazovskiy,RU,67.4667,78.7,54.1,70,63,10.83,broken clouds
505,Saint-Pierre,RE,-21.3393,55.4781,67.91,72,0,20.71,clear sky
506,Trairi,BR,-3.2778,-39.2689,77.18,77,12,9.95,few clouds
507,Makakilo City,US,21.3469,-158.0858,82.72,63,100,12.66,overcast clouds
508,Douentza,ML,14.9951,-2.9517,89.71,44,49,2.53,light rain
509,Paripiranga,BR,-10.6875,-37.8617,65.3,97,37,7.61,scattered clouds
510,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,4.61,clear sky
511,Dingle,PH,10.9995,122.6711,75.85,96,100,5.91,overcast clouds
512,Cheney,US,47.4874,-117.5758,79.29,35,20,12.66,few clouds
513,Yulara,AU,-25.2406,130.9889,57.22,24,0,7.11,clear sky
514,Urusha,RU,54.05,122.9,69.46,82,94,0.56,overcast clouds
515,Batagay,RU,67.6333,134.6333,55.51,86,80,6.49,light rain
516,Aykhal,RU,66.0,111.5,48.51,83,100,7.43,overcast clouds
517,Dwarka,IN,22.2394,68.9678,81.59,84,95,12.46,overcast clouds
518,Three Hills,CA,51.7001,-113.2686,63.61,90,100,6.91,light rain
519,Japura,ID,-0.3167,102.35,76.87,91,26,1.61,scattered clouds
520,Bulungu,CD,-4.55,18.6,74.34,76,92,3.91,overcast clouds
521,Seydi,TM,39.4816,62.9137,87.03,25,0,20.65,clear sky
522,Zelenoborskiy,RU,66.845,32.3622,52.93,93,89,3.47,overcast clouds
523,Broome,US,42.2506,-75.833,74.7,86,100,4.0,light rain
524,Sotnikovskoye,RU,45.0039,43.7772,70.92,68,95,10.02,light rain
525,Verkhnevilyuysk,RU,63.4453,120.3167,64.2,87,100,6.38,overcast clouds
526,Berdigestyakh,RU,62.0989,126.6992,77.83,51,23,3.18,few clouds
527,Porto Murtinho,BR,-21.6989,-57.8825,73.89,49,62,0.96,broken clouds
528,Yangambi,CD,0.8102,24.4336,68.67,99,100,1.86,light rain
529,Kaniama,CD,-7.5667,24.1833,73.26,38,89,3.67,overcast clouds
530,Antofagasta,CL,-23.65,-70.4,56.48,76,23,4.99,few clouds
531,Raudeberg,NO,61.9875,5.1352,54.27,83,99,8.32,overcast clouds
532,Chalala,IN,21.4167,71.1667,77.4,88,100,12.82,overcast clouds
533,Beloha,MG,-25.1667,45.05,61.43,85,0,9.69,clear sky
534,Moville,US,42.4889,-96.0725,88.48,33,2,12.24,clear sky
535,Vung Tau,VN,10.346,107.0843,80.4,86,99,9.84,overcast clouds
536,Hun,LY,29.1268,15.9477,77.45,47,0,6.44,clear sky
537,Tura,IN,25.5198,90.2201,75.07,97,94,5.61,overcast clouds
538,Scalea,IT,39.813,15.7956,78.96,65,34,5.64,scattered clouds
539,Rexburg,US,43.826,-111.7897,89.28,10,26,28.1,scattered clouds
540,Bodden Town,KY,19.2833,-81.25,88.0,71,20,11.5,few clouds
541,Letlhakeng,BW,-24.0944,25.0298,51.42,65,0,6.51,clear sky
542,Walajapet,IN,12.9333,79.3833,79.07,73,98,6.82,overcast clouds
543,Matara,LK,5.9485,80.5353,78.87,83,73,14.67,broken clouds
544,Santa Maria,BR,-29.6842,-53.8069,47.5,100,0,2.3,clear sky
545,Wanning,CN,18.8003,110.3967,84.36,85,98,8.79,overcast clouds
546,Anadyr,RU,64.75,177.4833,55.9,47,0,20.13,clear sky
547,Gravdal,NO,68.1214,13.5031,52.18,82,71,7.05,broken clouds
548,Wajima,JP,37.4,136.9,75.88,94,75,5.75,mist
549,Aruppukkottai,IN,9.5167,78.1,81.46,68,100,2.42,overcast clouds
550,Yar-Sale,RU,66.8333,70.8333,59.41,54,81,7.78,broken clouds
551,Filadelfia,US,39.9523,-75.1638,82.4,82,75,14.97,broken clouds
552,Sohag,EG,26.557,31.6948,84.49,24,3,7.11,clear sky
553,Darhan,MN,49.4867,105.9228,70.45,49,49,3.78,scattered clouds
554,Otukpo,NG,7.1913,8.1329,70.2,85,32,4.81,scattered clouds
555,Tarko-Sale,RU,64.9225,77.785,59.7,62,92,12.48,overcast clouds
556,Christchurch,NZ,-43.5333,172.6333,57.4,67,75,13.8,broken clouds
557,Kenai,US,60.5544,-151.2583,60.1,81,100,14.83,overcast clouds
558,Calderitas,MX,18.55,-88.25,83.77,75,79,12.17,broken clouds
559,Itarema,BR,-2.9248,-39.9167,77.9,73,17,13.82,few clouds
560,Mareeba,AU,-17.0,145.4333,70.48,75,2,3.62,clear sky
561,Finnsnes,NO,69.2296,17.9811,51.76,86,100,0.38,overcast clouds
562,Atambua,ID,-9.1061,124.8925,71.2,62,98,5.35,overcast clouds
563,Usinsk,RU,65.9939,57.5281,63.12,77,56,7.92,broken clouds
564,Sovetskiy,RU,61.3614,63.5842,60.1,61,1,2.33,clear sky
565,Karakol,KG,42.4907,78.3936,59.0,56,3,2.89,clear sky
566,Auki,SB,-8.7676,160.7034,83.95,64,26,2.68,scattered clouds
567,Berbera,SO,10.4396,45.0143,90.46,36,98,31.52,overcast clouds
568,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,82,20,12.66,few clouds
569,Segezha,RU,63.7415,34.3222,52.36,92,14,4.29,few clouds
570,Imbituba,BR,-28.24,-48.6703,61.09,91,100,7.74,overcast clouds
571,Vryburg,ZA,-26.9566,24.7284,49.75,57,0,8.88,clear sky
572,Aberdeen,GB,57.1437,-2.0981,73.49,62,84,4.61,broken clouds
573,Lucapa,AO,-8.4192,20.7447,67.42,35,11,5.64,few clouds
574,Mumford,GH,5.2618,-0.759,74.43,85,90,9.57,overcast clouds
575,Klaksvik,FO,62.2266,-6.589,50.92,87,100,13.73,overcast clouds
576,Kamarion,GR,36.8,25.8167,71.1,67,0,32.48,clear sky
577,Porirua,NZ,-41.1333,174.85,60.55,83,75,24.09,broken clouds
578,Camacha,PT,33.0833,-16.3333,65.62,77,40,8.05,scattered clouds
579,Pitimbu,BR,-7.4706,-34.8086,75.79,85,54,15.55,broken clouds
580,Shadrinsk,RU,56.0852,63.6335,60.8,89,0,1.95,clear sky
581,Stromness,GB,58.965,-3.296,56.88,90,67,1.01,broken clouds
582,Wanaka,NZ,-44.7,169.15,41.11,92,100,1.01,light rain
583,Cocobeach,GA,1.0002,9.5823,75.81,82,100,11.9,light rain
584,Palpa,PE,-14.5336,-75.1856,69.58,56,78,2.24,broken clouds
585,Khani,GE,41.9563,42.9566,63.97,97,97,0.56,overcast clouds
586,Olafsvik,IS,64.8945,-23.7142,53.15,77,100,6.89,light rain
587,Balgazyn,RU,51.0,95.2,53.92,93,100,0.63,overcast clouds
588,Vasilsursk,RU,56.1275,46.0072,55.11,98,42,4.14,light rain
589,Corinto,GR,37.9407,22.9573,78.42,56,0,6.06,clear sky
590,Udachnyy,RU,66.4167,112.4,50.45,100,97,9.44,overcast clouds
591,Kidal,ML,18.4411,1.4078,83.77,54,97,17.96,overcast clouds
592,Constitucion,CL,-35.3333,-72.4167,48.87,90,81,8.37,broken clouds
593,Zuwarah,LY,32.9312,12.082,79.72,69,0,12.57,clear sky
594,Holetown,BB,13.1867,-59.6381,82.96,85,86,17.52,overcast clouds
595,Manaus,BR,-3.1019,-60.025,86.5,78,40,4.61,scattered clouds
596,Sambava,MG,-14.2667,50.1667,69.4,76,50,14.34,scattered clouds
597,North Platte,US,41.1239,-100.7654,104.11,26,4,17.0,clear sky
598,Williston,US,48.147,-103.618,92.14,25,40,7.58,scattered clouds
599,Lorengau,PG,-2.0226,147.2712,82.4,73,97,6.22,light rain
600,Mitu,CO,1.1983,-70.1733,72.86,97,81,1.07,broken clouds
601,Fryanovo,RU,56.1333,38.45,48.72,96,80,7.49,broken clouds
602,Portland,US,45.5234,-122.6762,82.56,50,0,7.0,clear sky
603,Loding,NO,67.3,14.75,51.71,93,100,5.75,overcast clouds
604,Caconda,AO,-13.7333,15.0667,54.23,44,6,1.05,clear sky
605,Areosa,PT,41.7178,-8.8571,63.88,93,16,9.22,few clouds
606,Rawson,AR,-43.3002,-65.1023,43.92,49,45,14.47,scattered clouds
607,Freeport,US,40.6576,-73.5832,80.58,79,20,23.02,few clouds
608,Gat,IL,31.61,34.7642,79.39,83,0,0.63,clear sky
609,Ust-Nera,RU,64.5667,143.2,78.87,55,99,7.49,overcast clouds
610,Sakakah,SA,29.9697,40.2064,90.36,18,1,8.43,clear sky
611,Novoalekseyevskaya,RU,44.8189,40.9339,65.35,72,80,1.81,broken clouds
612,Neepawa,CA,50.2289,-99.4664,77.99,78,19,9.64,few clouds
613,Port Moresby,PG,-9.4431,147.1797,80.82,79,73,6.17,broken clouds
614,Pemberton,CA,50.3164,-122.8027,76.12,52,55,5.73,broken clouds
615,Dongning,CN,44.0622,131.1207,69.12,85,98,1.95,overcast clouds
616,Am Timan,TD,11.0297,20.2827,71.91,95,100,4.45,light rain
617,Gilbues,BR,-9.8317,-45.3439,71.51,39,5,5.93,clear sky
618,Benjamin Hill,MX,30.1667,-111.1,95.31,35,15,7.47,few clouds
619,Cururupu,BR,-1.8283,-44.8683,73.53,96,62,3.67,broken clouds
620,Sao Sebastiao,BR,-23.76,-45.4097,68.95,95,99,1.86,overcast clouds
621,Cairns,AU,-16.9167,145.7667,75.11,69,4,14.97,clear sky
622,Bhatkal,IN,13.9667,74.5667,78.13,85,100,5.37,overcast clouds
623,Salta,AR,-24.7859,-65.4117,53.58,48,0,1.99,clear sky
624,Kahului,US,20.8947,-156.47,84.97,79,13,13.0,few clouds
625,Salinopolis,BR,-0.6136,-47.3561,77.95,87,55,13.44,broken clouds
626,Bandarbeyla,SO,9.4942,50.8122,75.83,75,89,33.13,overcast clouds
627,Lyubech,UA,51.7026,30.6569,55.62,78,40,6.15,scattered clouds
628,Matamoros,MX,25.5333,-103.25,96.19,16,12,12.28,few clouds
629,Channel-Port Aux Basques,CA,47.5702,-59.1367,62.73,91,100,1.57,overcast clouds
630,Slave Lake,CA,55.2834,-114.769,76.01,42,44,11.32,scattered clouds
631,Carutapera,BR,-1.195,-46.02,75.33,93,68,7.31,broken clouds
632,Ust-Koksa,RU,50.2696,85.6108,48.72,83,26,0.49,scattered clouds
633,Astoria,US,46.1879,-123.8313,75.7,72,11,4.0,few clouds
634,The Pas,CA,53.8251,-101.2541,81.27,40,19,5.97,few clouds
635,Varna,BG,43.2167,27.9167,61.88,92,0,2.3,clear sky
636,Umba,RU,66.6871,34.3429,51.71,91,61,7.34,broken clouds
637,Uige,AO,-7.6087,15.0613,63.43,90,23,2.19,few clouds
638,Nizhniy Baskunchak,RU,48.2198,46.8311,72.88,50,0,15.19,clear sky
639,Kostino,RU,58.9097,53.2691,60.75,98,84,6.24,broken clouds
640,Colquechaca,BO,-18.6667,-66.0167,36.91,53,90,3.69,overcast clouds
641,Albania,AL,41.0,20.0,71.64,38,19,6.6,few clouds
642,Williams Lake,CA,52.1415,-122.1445,74.77,49,75,5.75,broken clouds
643,Saint Anthony,US,45.0205,-93.218,94.93,52,47,3.0,scattered clouds
644,Dalnegorsk,RU,44.5604,135.5701,71.51,72,91,1.54,overcast clouds
645,Shahapur,IN,19.45,73.3333,74.57,97,100,3.31,overcast clouds
646,Xichang,CN,27.8964,102.2634,70.03,93,99,0.92,light rain
647,Aliwal North,ZA,-30.6937,26.7114,46.53,53,16,6.91,few clouds
648,Palmer,US,42.1584,-72.3287,75.96,83,100,4.0,overcast clouds
649,Mandera,KE,3.9366,41.867,76.35,56,88,17.92,overcast clouds
650,Impfondo,CG,1.6381,18.0667,70.79,95,100,1.61,light rain
651,Lazne Bohdanec,CZ,50.0756,15.6798,61.11,79,0,1.14,clear sky
652,Ojinaga,MX,29.5667,-104.4167,103.57,19,0,10.36,clear sky
653,South Lake Tahoe,US,38.9332,-119.9844,86.85,31,0,12.66,clear sky
654,Shirokiy,RU,49.758,129.523,68.22,91,99,5.41,overcast clouds
655,Alanya,TR,36.5438,31.9998,81.03,52,0,10.11,clear sky
656,Trinidad,BO,-14.8333,-64.9,75.0,64,22,1.43,few clouds
657,Kaluga,RU,54.5,35.5,46.87,91,36,7.0,scattered clouds
658,Fairlie,GB,55.756,-4.8556,70.39,85,93,4.76,overcast clouds
659,Novikovo,RU,51.1537,37.8879,53.37,93,0,7.25,clear sky
660,Bloomingdale,US,27.8936,-82.2404,89.92,78,40,9.22,scattered clouds
661,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,87,49,7.38,scattered clouds
662,Tinskoy,RU,56.1525,96.9161,58.86,67,21,8.55,few clouds
663,Santander,ES,43.4647,-3.8044,67.46,87,0,5.99,light rain
664,Mancio Lima,BR,-7.6142,-72.8958,73.04,98,67,2.33,broken clouds
665,Mongu,ZM,-15.2484,23.1274,49.37,68,2,6.33,clear sky
666,Aswan,EG,24.0934,32.907,87.51,20,4,8.32,clear sky
667,Magalia,US,39.8121,-121.5783,97.52,12,0,9.8,clear sky
668,Urumqi,CN,43.801,87.6005,70.75,53,20,11.18,light rain
669,Dibulla,CO,11.2725,-73.3091,81.09,82,99,11.25,overcast clouds
670,Agar,IN,23.7,76.0167,75.87,93,92,13.91,overcast clouds
671,Tubinskiy,RU,52.8892,58.2225,60.93,82,80,5.61,broken clouds
672,Kyra,RU,49.5776,111.9753,68.58,58,7,2.73,clear sky
673,Herat,AF,34.5,62.0,75.83,17,0,9.89,clear sky
674,Mitzic,GA,0.7821,11.549,68.59,92,100,3.71,overcast clouds
675,Ishigaki,JP,24.3448,124.1572,84.6,85,100,19.13,overcast clouds
676,Nichinan,JP,31.6,131.3667,83.68,80,100,13.82,overcast clouds
677,Coihaique,CL,-45.5752,-72.0662,39.15,75,75,3.44,broken clouds
678,Anchorage,US,61.2181,-149.9003,65.64,66,100,11.99,overcast clouds
679,Ciudad Bolivar,VE,8.1222,-63.5497,81.18,73,97,11.86,overcast clouds
680,Canico,PT,32.6333,-16.85,70.43,82,20,9.22,few clouds
681,Saint-Joseph,RE,-21.3667,55.6167,66.58,75,41,17.63,scattered clouds
682,Keetmanshoop,NA,-26.5833,18.1333,57.36,29,2,7.49,clear sky
683,Avera,US,33.194,-82.5271,87.85,61,76,8.43,broken clouds
684,Alikalia,SL,9.1667,-11.4,69.73,99,100,3.83,light rain
685,Havelock,US,34.8791,-76.9013,82.35,88,0,9.22,clear sky
686,Sancti Spiritus,CU,21.9297,-79.4425,79.84,80,2,9.62,clear sky
687,Saint-Georges,GD,12.0564,-61.7485,79.47,82,6,14.52,clear sky
688,Itacoatiara,BR,-3.1431,-58.4442,77.59,73,61,2.59,broken clouds
689,Pokhara,NP,28.2333,83.9833,73.8,93,98,0.67,overcast clouds
690,Kroonstad,ZA,-27.6504,27.2349,45.84,50,0,4.56,clear sky
691,Port Macquarie,AU,-31.4333,152.9167,55.89,65,30,11.74,scattered clouds
692,Castro-Urdiales,ES,43.3829,-3.2204,69.62,79,91,9.42,overcast clouds
693,Rzhyshchiv,UA,49.9689,31.0463,56.08,73,47,6.69,scattered clouds
694,Steinbach,DE,50.1667,8.5667,71.2,52,0,6.91,clear sky
